date,he,coal,gas,hydro,nuclear,other,wind
2012-01-26,1,0.313936,0.451170,0.397436,0.808344,0.383420,0.235045
2012-01-26,2,0.314896,0.410156,0.365023,0.807443,0.375857,0.259000
2012-01-26,3,0.314662,0.393682,0.373583,0.808346,0.371414,0.285363
2012-01-26,4,0.313702,0.393949,0.372870,0.808498,0.376211,0.288432
2012-01-26,5,0.313936,0.409283,0.355808,0.808544,0.375142,0.282321
2012-01-26,6,0.312993,0.451441,0.383974,0.808577,0.382351,0.332192
2012-01-26,7,0.432573,0.504593,0.522070,0.808620,0.404748,0.361227
2012-01-26,8,0.351372,0.519072,0.604693,0.808501,0.410888,0.408682
2012-01-26,9,0.336681,0.518625,0.608128,0.808455,0.409820,0.425172
2012-01-26,10,0.357042,0.521586,0.604762,0.808620,0.409820,0.422562
2012-01-26,11,0.327594,0.523152,0.590370,0.808691,0.408121,0.416919
2012-01-26,12,0.437309,0.558748,0.583018,0.807589,0.400643,0.335531
2012-01-26,13,0.360371,0.556475,0.579882,0.808028,0.401188,0.340244
2012-01-26,14,0.394919,0.551603,0.575842,0.807864,0.404393,0.397003
2012-01-26,15,0.386852,0.532913,0.569743,0.806456,0.407683,0.411015
2012-01-26,16,0.391127,0.547740,0.555758,0.807532,0.409904,0.315926
2012-01-26,17,0.395596,0.599578,0.594044,0.869077,0.402887,0.326768
2012-01-26,18,0.501209,0.631327,0.643467,0.807164,0.410972,0.349574
2012-01-26,19,0.508002,0.636023,0.648300,0.806803,0.406615,0.403215
2012-01-26,20,0.367470,0.609745,0.650469,0.807047,0.410972,0.391837
2012-01-26,21,0.397210,0.603111,0.643942,0.807334,0.406176,0.270675
2012-01-26,22,0.372850,0.589891,0.610729,0.806097,0.406615,0.200071
2012-01-26,23,0.370668,0.535914,0.453831,0.806386,0.408836,0.182744
2012-01-26,24,0.327383,0.470531,0.403103,0.806719,0.393457,0.174508
2012-01-27,1,0.359972,0.384448,0.367232,0.807363,0.386248,0.200496
2012-01-27,2,0.366638,0.322531,0.343484,0.807425,0.372320,0.219996
2012-01-27,3,0.348617,0.310763,0.342586,0.807229,0.362643,0.186406
2012-01-27,4,0.325286,0.335306,0.345562,0.807591,0.359983,0.208749
2012-01-27,5,0.318532,0.369099,0.325454,0.869882,0.368592,0.241200
2012-01-27,6,0.319258,0.389261,0.364976,0.807940,0.379230,0.317014
2012-01-27,7,0.316793,0.442839,0.496214,0.807852,0.400036,0.373016
2012-01-27,8,0.316536,0.459517,0.596920,0.807897,0.405546,0.368137
2012-01-27,9,0.315093,0.493889,0.608756,0.807653,0.404478,0.478820
2012-01-27,10,0.316301,0.508250,0.601634,0.870350,0.406615,0.555121
2012-01-27,11,0.317273,0.522427,0.587455,0.807094,0.406176,0.578640
2012-01-27,12,0.316073,0.540042,0.566589,0.870317,0.402448,0.624594
2012-01-27,13,0.338722,0.547519,0.560389,0.870153,0.405108,0.645136
2012-01-27,14,0.317923,0.532027,0.528495,0.807657,0.399789,0.690783
2012-01-27,15,0.316972,0.490486,0.531002,0.869598,0.404039,0.664004
2012-01-27,16,0.316738,0.507309,0.526096,0.807700,0.406699,0.606695
2012-01-27,17,0.323728,0.533613,0.590145,0.807628,0.407767,0.511934
2012-01-27,18,0.401915,0.564602,0.675509,0.807798,0.408836,0.395832
2012-01-27,19,0.423552,0.552310,0.654763,0.807873,0.412564,0.361871
2012-01-27,20,0.323745,0.533337,0.628829,0.807681,0.409904,0.363416
2012-01-27,21,0.314868,0.524930,0.629099,0.807809,0.410972,0.409498
2012-01-27,22,0.311722,0.459856,0.580966,0.807040,0.414700,0.435167
